full_name,name,owner,stars,forks,language,created_at,updated_at,url
numpy/numpy,numpy,numpy,30540,11534,Python,2010-09-13T23:02:39Z,2025-10-09T21:58:42Z,https://github.com/numpy/numpy
tqdm/tqdm,tqdm,tqdm,30510,1399,Python,2015-06-03T13:13:14Z,2025-10-09T19:09:18Z,https://github.com/tqdm/tqdm
OWASP/CheatSheetSeries,CheatSheetSeries,OWASP,30435,4261,Python,2018-12-21T14:26:43Z,2025-10-09T22:06:33Z,https://github.com/OWASP/CheatSheetSeries
s0md3v/roop,roop,s0md3v,30258,6888,Python,2023-05-28T14:37:54Z,2025-10-09T21:06:06Z,https://github.com/s0md3v/roop
tinygrad/tinygrad,tinygrad,tinygrad,30242,3651,Python,2020-10-18T16:23:12Z,2025-10-09T17:00:55Z,https://github.com/tinygrad/tinygrad
Lightning-AI/pytorch-lightning,pytorch-lightning,Lightning-AI,30231,3581,Python,2019-03-31T00:45:57Z,2025-10-09T19:17:42Z,https://github.com/Lightning-AI/pytorch-lightning
tatsu-lab/stanford_alpaca,stanford_alpaca,tatsu-lab,30168,4039,Python,2023-03-10T23:33:09Z,2025-10-09T03:16:17Z,https://github.com/tatsu-lab/stanford_alpaca
nicolargo/glances,glances,nicolargo,30159,1626,Python,2011-12-04T08:49:15Z,2025-10-09T18:46:04Z,https://github.com/nicolargo/glances
trailofbits/algo,algo,trailofbits,29950,2355,Python,2016-05-15T03:42:48Z,2025-10-09T15:50:48Z,https://github.com/trailofbits/algo
iperov/DeepFaceLive,DeepFaceLive,iperov,29850,926,Python,2020-12-15T12:19:22Z,2025-10-09T20:39:03Z,https://github.com/iperov/DeepFaceLive
BerriAI/litellm,litellm,BerriAI,29700,4329,Python,2023-07-27T00:09:52Z,2025-10-09T22:06:37Z,https://github.com/BerriAI/litellm
PostHog/posthog,posthog,PostHog,29593,1975,Python,2020-01-23T22:46:58Z,2025-10-09T21:16:23Z,https://github.com/PostHog/posthog
encode/django-rest-framework,django-rest-framework,encode,29542,7013,Python,2011-03-02T17:13:56Z,2025-10-09T17:47:42Z,https://github.com/encode/django-rest-framework
frappe/erpnext,erpnext,frappe,29488,9551,Python,2011-06-08T08:20:56Z,2025-10-09T19:50:14Z,https://github.com/frappe/erpnext
kovidgoyal/kitty,kitty,kovidgoyal,29242,1152,Python,2016-10-16T14:48:28Z,2025-10-09T21:31:31Z,https://github.com/kovidgoyal/kitty
datalab-to/marker,marker,datalab-to,29107,1920,Python,2023-10-30T20:14:08Z,2025-10-09T20:54:27Z,https://github.com/datalab-to/marker
stanfordnlp/dspy,dspy,stanfordnlp,29044,2303,Python,2023-01-09T21:01:51Z,2025-10-09T21:46:03Z,https://github.com/stanfordnlp/dspy
meta-llama/llama3,llama3,meta-llama,29022,3470,Python,2024-03-15T17:57:00Z,2025-10-09T18:12:35Z,https://github.com/meta-llama/llama3
StevenBlack/hosts,hosts,StevenBlack,28992,2349,Python,2012-04-12T20:22:50Z,2025-10-09T18:21:27Z,https://github.com/StevenBlack/hosts
feder-cr/Jobs_Applier_AI_Agent_AIHawk,Jobs_Applier_AI_Agent_AIHawk,feder-cr,28951,4395,Python,2024-08-04T12:15:06Z,2025-10-09T20:17:42Z,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
openai/openai-python,openai-python,openai,28883,4320,Python,2020-10-25T23:23:54Z,2025-10-09T21:06:23Z,https://github.com/openai/openai-python
jumpserver/jumpserver,jumpserver,jumpserver,28810,5570,Python,2014-07-04T03:54:59Z,2025-10-09T18:15:00Z,https://github.com/jumpserver/jumpserver
eriklindernoren/ML-From-Scratch,ML-From-Scratch,eriklindernoren,28736,4922,Python,2017-02-05T12:11:23Z,2025-10-09T21:20:20Z,https://github.com/eriklindernoren/ML-From-Scratch
Byaidu/PDFMathTranslate,PDFMathTranslate,Byaidu,28680,2521,Python,2024-09-06T06:56:03Z,2025-10-09T21:50:53Z,https://github.com/Byaidu/PDFMathTranslate
donnemartin/data-science-ipython-notebooks,data-science-ipython-notebooks,donnemartin,28583,8019,Python,2015-01-23T19:38:29Z,2025-10-09T13:25:27Z,https://github.com/donnemartin/data-science-ipython-notebooks
microsoft/graphrag,graphrag,microsoft,28546,2989,Python,2024-03-27T17:57:52Z,2025-10-09T20:27:23Z,https://github.com/microsoft/graphrag
python-telegram-bot/python-telegram-bot,python-telegram-bot,python-telegram-bot,28250,5866,Python,2015-07-07T15:30:39Z,2025-10-09T18:25:03Z,https://github.com/python-telegram-bot/python-telegram-bot
JaidedAI/EasyOCR,EasyOCR,JaidedAI,28095,3478,Python,2020-03-14T11:46:39Z,2025-10-09T19:41:30Z,https://github.com/JaidedAI/EasyOCR
acheong08/ChatGPT,ChatGPT,acheong08,28020,4465,Python,2022-12-03T14:35:24Z,2025-10-09T10:38:10Z,https://github.com/acheong08/ChatGPT
google/python-fire,python-fire,google,27921,1455,Python,2017-02-21T21:35:07Z,2025-10-09T18:07:32Z,https://github.com/google/python-fire
getredash/redash,redash,getredash,27850,4522,Python,2013-10-28T13:19:39Z,2025-10-09T10:38:49Z,https://github.com/getredash/redash
chubin/wttr.in,wttr.in,chubin,27699,1182,Python,2015-12-26T21:03:43Z,2025-10-09T21:35:18Z,https://github.com/chubin/wttr.in
svc-develop-team/so-vits-svc,so-vits-svc,svc-develop-team,27660,5056,Python,2023-03-10T09:31:09Z,2025-10-09T19:17:53Z,https://github.com/svc-develop-team/so-vits-svc
dgtlmoon/changedetection.io,changedetection.io,dgtlmoon,27605,1537,Python,2021-01-27T16:03:30Z,2025-10-09T21:10:39Z,https://github.com/dgtlmoon/changedetection.io
OpenBMB/ChatDev,ChatDev,OpenBMB,27518,3461,Python,2023-08-28T02:18:13Z,2025-10-09T13:51:22Z,https://github.com/OpenBMB/ChatDev
