id,owner,Repo,Estrelas,Idade (anos),Total releases,Dias desde última atualização,Linguagem primária
148,zaproxy,zaproxy,14074,10.28,20,0,Java
149,GoogleContainerTools,jib,14012,7.64,168,0,Java
150,orhanobut,logger,13891,10.48,16,0,Java
171,pxb1988,dex2jar,12898,10.5,8,0,Java
172,ashishps1,awesome-leetcode-resources,12891,1.88,0,0,Java
173,Netflix,conductor,12777,8.76,319,0,Java
174,facebook,stetho,12710,10.64,13,0,Java
175,codecentric,spring-boot-admin,12683,11.14,136,0,Java
176,google,guice,12673,11.3,19,0,Java
177,alibaba,COLA,12644,7.6,11,0,Java
178,greenrobot,greenDAO,12628,13.9,8,0,Java
179,Netflix,eureka,12620,13.13,151,0,Java
180,macrozheng,mall-swarm,12599,5.8,3,0,Java
201,OpenRefine,OpenRefine,11505,12.91,72,1,Java
202,realm,realm-java,11485,13.4,0,0,Java
203,careercup,CtCI-6th-Edition,11459,10.2,0,7,Java
204,gyf-dev,ImmersionBar,11453,8.4,0,0,Java
205,PaperMC,Paper,11394,9.64,0,0,Java
206,newbee-ltd,newbee-mall,11391,5.98,0,0,Java
207,provectus,kafka-ui,11266,5.79,25,0,Java
208,jhy,jsoup,11243,15.74,20,2,Java
209,permissions-dispatcher,PermissionsDispatcher,11234,10.08,40,4,Java
210,mission-peace,interview,11209,11.15,0,0,Java
181,apache,zookeeper,12594,16.47,0,0,Java
182,zhihu,Matisse,12568,8.42,15,0,Java
183,daimajia,AndroidViewAnimations,12472,11.22,9,10,Java
184,metersphere,metersphere,12451,5.61,179,0,Java
185,daimajia,AndroidSwipeLayout,12410,11.05,18,0,Java
186,pagehelper,Mybatis-PageHelper,12338,11.26,15,0,Java
187,redis,jedis,12149,15.26,114,0,Java
188,amitshekhariitbhu,android-interview-questions,12067,8.18,0,0,Java
189,plantuml,plantuml,12052,14.86,60,0,Java
190,Yalantis,uCrop,12039,9.69,20,0,Java
191,Tencent,matrix,11902,6.75,16,0,Java
192,Tencent,VasSonic,11868,8.12,10,5,Java
193,trinodb,trino,11849,6.65,0,0,Java
194,grpc,grpc-java,11837,10.76,180,0,Java
195,Team-xManager,xManager,11832,4.59,51,0,Java
196,debezium,debezium,11819,9.64,0,0,Java
197,frank-lam,fullstack-tutorial,11682,7.42,0,0,Java
198,code4craft,webmagic,11625,12.39,33,0,Java
199,xpipe-io,xpipe,11575,2.62,121,0,Java
200,opensearch-project,OpenSearch,11519,4.62,59,0,Java
211,apereo,cas,11193,14.01,303,0,Java
212,H07000223,FlycoTabLayout,11126,9.84,4,0,Java
213,daniulive,SmarterStreaming,11115,9.47,0,0,Java
214,lingochamp,FileDownloader,11113,9.73,65,0,Java
215,beemdevelopment,Aegis,11097,9.08,72,0,Java
216,jfeinstein10,SlidingMenu,11048,13.21,0,0,Java
217,androidannotations,androidannotations,11040,13.69,0,4,Java
218,LawnchairLauncher,lawnchair,11034,8.53,30,0,Java
219,datahub-project,datahub,11021,9.82,104,0,Java
220,doocs,jvm,10969,7.22,0,0,Java
221,ssssssss-team,spider-flow,10893,5.46,2,0,Java
222,square,javapoet,10871,12.61,0,0,Java
223,microg,GmsCore,10861,11.39,41,0,Java
224,apple,pkl,10848,1.64,16,0,Java
225,jwtk,jjwt,10843,11.0,9,0,Java
226,alibaba,vlayout,10775,8.54,34,1,Java
227,aosp-mirror,platform_frameworks_base,10762,16.9,0,0,Java
228,asLody,VirtualApp,10747,9.19,0,0,Java
229,TooTallNate,Java-WebSocket,10737,15.65,19,0,Java
230,clojure,clojure,10712,15.21,0,0,Java
161,cryptomator,cryptomator,13588,11.61,193,0,Java
162,janishar,mit-deep-learning-book-pdf,13582,8.43,3,0,Java
163,tink-crypto,tink,13556,11.27,21,0,Java
164,languagetool-org,languagetool,13555,12.1,0,0,Java
165,LuckSiege,PictureSelector,13546,8.69,116,0,Java
166,Bigkoo,Android-PickerView,13481,10.71,0,0,Java
