trial_id,type,name,url,latency_ms,payload_bytes,status_code,timestamp_start,timestamp_end,error
26,GraphQL,user_detail,https://api.github.com/graphql,987.614,83,200,1763522357.4383614,1763522358.4259732,
26,GraphQL,user_repos,https://api.github.com/graphql,1911.119,6837,200,1763522358.7290025,1763522360.6401193,
27,GraphQL,user_detail,https://api.github.com/graphql,1236.128,83,200,1763522360.9412568,1763522362.177381,
27,GraphQL,user_repos,https://api.github.com/graphql,1877.133,6837,200,1763522362.4776826,1763522364.354813,
28,GraphQL,user_detail,https://api.github.com/graphql,855.303,83,200,1763522364.6556504,1763522365.5109494,
28,GraphQL,user_repos,https://api.github.com/graphql,2090.66,6837,200,1763522365.811896,1763522367.9025528,
29,GraphQL,user_detail,https://api.github.com/graphql,943.181,83,200,1763522368.2030447,1763522369.1462226,
29,GraphQL,user_repos,https://api.github.com/graphql,2243.424,6837,200,1763522369.4469104,1763522371.6903317,
30,GraphQL,user_detail,https://api.github.com/graphql,829.257,83,200,1763522371.991294,1763522372.8205485,
30,GraphQL,user_repos,https://api.github.com/graphql,2363.947,6837,200,1763522373.1211267,1763522375.4850688,
31,GraphQL,user_detail,https://api.github.com/graphql,945.509,83,200,1763522375.786108,1763522376.7316124,
31,GraphQL,user_repos,https://api.github.com/graphql,2090.269,6837,200,1763522377.032107,1763522379.1223707,
32,GraphQL,user_detail,https://api.github.com/graphql,838.906,83,200,1763522379.4229665,1763522380.2618694,
32,GraphQL,user_repos,https://api.github.com/graphql,2420.699,6837,200,1763522380.56228,1763522382.9829743,
33,GraphQL,user_detail,https://api.github.com/graphql,926.011,83,200,1763522383.2840047,1763522384.2100115,
33,GraphQL,user_repos,https://api.github.com/graphql,1908.719,6837,200,1763522384.5131078,1763522386.4218204,
34,GraphQL,user_detail,https://api.github.com/graphql,888.457,83,200,1763522386.7226515,1763522387.6111033,
34,GraphQL,user_repos,https://api.github.com/graphql,2150.129,6837,200,1763522387.9112902,1763522390.0614154,
35,GraphQL,user_detail,https://api.github.com/graphql,1107.118,83,200,1763522390.3622572,1763522391.4693723,
35,GraphQL,user_repos,https://api.github.com/graphql,2003.834,6837,200,1763522391.7704418,1763522393.774272,
36,GraphQL,user_detail,https://api.github.com/graphql,887.762,83,200,1763522394.0749125,1763522394.96267,
36,GraphQL,user_repos,https://api.github.com/graphql,2706.902,6837,200,1763522395.263053,1763522397.9699497,
37,GraphQL,user_detail,https://api.github.com/graphql,885.108,83,200,1763522398.2707672,1763522399.1558707,
37,GraphQL,user_repos,https://api.github.com/graphql,2357.511,6837,200,1763522399.4563901,1763522401.813896,
38,GraphQL,user_detail,https://api.github.com/graphql,883.393,83,200,1763522402.1144567,1763522402.9978452,
38,GraphQL,user_repos,https://api.github.com/graphql,1956.075,6837,200,1763522403.3012362,1763522405.2573066,
39,GraphQL,user_detail,https://api.github.com/graphql,964.127,83,200,1763522405.557959,1763522406.5220814,
39,GraphQL,user_repos,https://api.github.com/graphql,2351.84,6837,200,1763522406.8223782,1763522409.174214,
40,GraphQL,user_detail,https://api.github.com/graphql,928.364,83,200,1763522409.4753556,1763522410.4037154,
40,GraphQL,user_repos,https://api.github.com/graphql,1787.879,6837,200,1763522410.7041113,1763522412.491986,
41,GraphQL,user_detail,https://api.github.com/graphql,884.911,83,200,1763522412.792507,1763522413.677412,
41,GraphQL,user_repos,https://api.github.com/graphql,2347.401,6837,200,1763522413.9780364,1763522416.3254328,
42,GraphQL,user_detail,https://api.github.com/graphql,899.415,83,200,1763522416.6261306,1763522417.5255418,
42,GraphQL,user_repos,https://api.github.com/graphql,2084.149,6837,200,1763522417.82839,1763522419.9125335,
43,GraphQL,user_detail,https://api.github.com/graphql,875.111,83,200,1763522420.2130325,1763522421.0881395,
43,GraphQL,user_repos,https://api.github.com/graphql,2172.398,6837,200,1763522421.3885667,1763522423.5609615,
44,GraphQL,user_detail,https://api.github.com/graphql,934.565,83,200,1763522423.8614767,1763522424.7960372,
44,GraphQL,user_repos,https://api.github.com/graphql,2111.51,6837,200,1763522425.0964632,1763522427.207968,
45,GraphQL,user_detail,https://api.github.com/graphql,983.005,83,200,1763522427.5090265,1763522428.4920285,
45,GraphQL,user_repos,https://api.github.com/graphql,2127.846,6837,200,1763522428.7931252,1763522430.9209676,
46,GraphQL,user_detail,https://api.github.com/graphql,885.803,83,200,1763522431.2212245,1763522432.107023,
46,GraphQL,user_repos,https://api.github.com/graphql,2584.602,6837,200,1763522432.4073484,1763522434.9919453,
47,GraphQL,user_detail,https://api.github.com/graphql,918.712,83,200,1763522435.2926319,1763522436.211339,
47,GraphQL,user_repos,https://api.github.com/graphql,2462.478,6837,200,1763522436.5118055,1763522438.9742794,
48,GraphQL,user_detail,https://api.github.com/graphql,893.559,83,200,1763522439.2747152,1763522440.168269,
48,GraphQL,user_repos,https://api.github.com/graphql,1895.867,6837,200,1763522440.469024,1763522442.3648865,
49,GraphQL,user_detail,https://api.github.com/graphql,879.055,83,200,1763522442.665203,1763522443.5442548,
49,GraphQL,user_repos,https://api.github.com/graphql,1974.126,6837,200,1763522443.845079,1763522445.8192005,
0,GraphQL,user_detail,https://api.github.com/graphql,631.114,0,-1,1764119050.4945395,1764119051.1256511,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
0,GraphQL,user_repos,https://api.github.com/graphql,594.268,0,-1,1764119051.228532,1764119051.8227956,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
1,GraphQL,user_detail,https://api.github.com/graphql,805.476,0,-1,1764119051.9247653,1764119052.7302394,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
1,GraphQL,user_repos,https://api.github.com/graphql,714.716,0,-1,1764119052.8322053,1764119053.5469193,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
2,GraphQL,user_detail,https://api.github.com/graphql,680.321,0,-1,1764119053.649413,1764119054.3297324,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
2,GraphQL,user_repos,https://api.github.com/graphql,607.904,0,-1,1764119054.4319859,1764119055.0398886,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
3,GraphQL,user_detail,https://api.github.com/graphql,539.96,0,-1,1764119055.142745,1764119055.6827018,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
3,GraphQL,user_repos,https://api.github.com/graphql,629.723,0,-1,1764119055.785795,1764119056.4155152,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
4,GraphQL,user_detail,https://api.github.com/graphql,763.566,0,-1,1764119056.5181184,1764119057.2816832,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
4,GraphQL,user_repos,https://api.github.com/graphql,769.388,0,-1,1764119057.3846104,1764119058.1539898,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
5,GraphQL,user_detail,https://api.github.com/graphql,724.956,0,-1,1764119058.256024,1764119058.9809783,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
5,GraphQL,user_repos,https://api.github.com/graphql,596.033,0,-1,1764119059.083777,1764119059.6798072,403 Client Error: rate limit exceeded for url: https://api.github.com/graphql
